Plot,Real.rich,PD,biomass
X2,1,0,47.89
X7,1,0,44.37
X9,1,0,44.37
X13,1,0,66.24
X14,1,0,47.58
X18,1,0,40.62
X28,1,0,2.03
X29,1,0,95.11
X32,1,0,4.5
X33,1,0,123.1
X38,1,0,1.31
X41,1,0,47.89
X42,1,0,5.08
X43,1,0,67.1
X44,1,0,32.46
X47,1,0,7.26
X48,1,0,13.92
X49,1,0,66.4
X50,1,0,54.73
X52,1,0,57.16
X53,1,0,99.37
X54,1,0,2.28
X55,1,0,6.22
X60,1,0,34.17
X65,1,0,2.92
X66,1,0,102.32
X69,1,0,68.89
X71,1,0,28.32
X72,1,0,7
X75,1,0,104.05
X76,1,0,0.4
X78,1,0,74.98
X80,1,0,51.04
X81,1,0,97.33
X82,1,0,18.16
X83,1,0,70.28
X85,1,0,49.34
X86,1,0,23.94
X87,1,0,36.18
X89,1,0,4.35
X90,1,0,5.31
X92,1,0,32.12
X94,1,0,107.47
X99,1,0,24.13
X4,2,320,77.93
X11,2,6.874754814,65.27
X15,2,161.7204306,68.59
X19,2,11.43160506,38.23
X21,2,32.59632,60.25
X24,2,197.9783351,44.99
X25,2,75.57885643,35.27
X26,2,71.23078528,15.07
X31,2,110.4567581,118.09
X34,2,320,66.14
X39,2,320,45.34
X45,2,20.39840727,21.82
X46,2,75.57885643,24.46
X51,2,320,116.57
X58,2,320,47.6
X59,2,161.7204306,69.66
X62,2,320,85.75
X63,2,197.9783351,68.05
X64,2,6.672685464,21.55
X68,2,6.874754814,67.03
X73,2,154.7004937,24.73
X91,2,110.4567581,64.64
X93,2,75.57885643,19.16
X97,2,6.874754814,46.92
X98,2,320,81.8
X8,3,418.9891675,166.82
X17,3,323.3363427,44.16
X22,3,418.9891675,91.81
X67,3,216.9488097,66.73
X84,3,113.8941355,93.4
X3,4,456.7785958,122.24
X12,4,326.7737201,87.42
X16,4,84.63100169,49.65
X23,4,499.8493829,42.91
X27,4,288.8221068,110.5
X36,4,333.5355464,129.35
X37,4,188.2177943,73.62
X40,4,84.63100169,56.06
X56,4,428.3019981,77.36
X57,4,84.63100169,65.2
X61,4,478.2104622,111.66
X74,4,499.8493829,139.36
X77,4,249.8918877,83.2
X88,4,329.1531799,84.1
X100,4,438.6496435,71.18
